loan_amnt,loan_percent_income,person_income,loan_int_rate,loan_status,person_age,person_emp_length,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
6.907755278982138,-2.302585092994045,9.169518377455928,2.4105422344991383,0,21,5.0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8.612503371220562,-0.5621189181535413,9.169518377455928,2.554899021608035,1,25,1.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10.46310334047155,-0.6348782724359695,11.089805421623344,2.7232671669070703,1,23,4.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10.46310334047155,-0.5978370007556204,10.904119432844034,2.658159431488745,1,24,8.0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
7.824046010856294,-1.3862943611198906,9.200290036122679,1.9657127763514932,1,21,2.0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
10.46310334047155,-0.8209805520698302,11.276646014262877,2.4078456036515385,1,24,5.0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
10.46310334047155,-0.8675005677047231,11.326595886778733,2.186051276738094,1,24,8.0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
10.46310334047155,-0.8915981192837836,11.350406535472453,2.338917022241436,1,22,6.0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
8.411832675758411,-0.7985076962177716,9.210340371976184,2.155244505095337,1,21,2.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
10.46310334047155,-0.9942522733438668,11.461632170582678,2.0668627594729756,1,23,2.0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
10.46310334047155,-1.1394342831883648,11.591366891276794,2.91180703861623,1,26,4.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
10.46310334047155,-1.203972804325936,11.652687407345386,2.0668627594729756,0,23,2.0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
10.46310334047155,-1.2378743560016174,11.695247021764185,2.0668627594729756,0,23,0.0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
10.46310334047155,-1.1394342831883648,11.430749650507867,3.0081547935525483,1,23,7.0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
10.46310334047155,-1.171182981502945,11.635143097694476,2.9041650800285006,1,23,8.0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7.467371066917559,-1.8325814637483104,9.287301413112312,2.39698576841553,1,24,8.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10.457372665762566,-1.3862943611198906,11.827736204810266,2.8195915758351173,0,25,9.0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
10.434115803598301,-0.6539264674066639,11.082142548877776,2.8667618922570313,1,22,4.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7.3132203870903005,-1.9661128563728327,9.303830715063519,1.986503546020567,0,24,0.0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
10.404262840448617,-0.7133498878774648,11.123520696408576,2.54002594900908,1,24,8.0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
8.428361977709622,-0.8675005677047231,9.305650551780507,2.8758219768814333,1,21,3.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
7.244227515603349,-2.0402208285265546,9.305650551780507,2.2321626286975,0,23,0.0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
8.294049640102028,-1.0498221244986778,9.340403256274351,2.552565298261815,1,21,5.0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7.600902459542082,-1.7719568419318752,9.351839934249883,2.4087452888224363,1,21,5.0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
10.343354087361623,-1.1086626245216111,11.461632170582678,2.6511270537025893,1,26,7.0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7.824046010856294,-1.5606477482646683,9.392661928770137,2.0162354657760435,1,21,5.0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
10.308952660644293,-0.4620354595965587,10.778956289890028,2.91180703861623,1,22,1.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
10.308952660644293,-0.7550225842780328,11.066638362341811,2.6769034721053733,1,24,8.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10.308952660644293,-0.916290731874155,11.225243392518447,2.826721730819709,1,25,4.0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
10.308952660644293,-0.8915981192837836,11.03569579063275,2.8898160479624417,1,26,6.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
7.824046010856294,-1.5606477482646683,9.392661928770137,2.5408142817262958,1,24,4.0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
10.308952660644293,-0.9942522733438668,11.298369930842552,2.0135687975291283,1,26,8.0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
10.308952660644293,-0.9675840262617056,11.101945176173954,2.5408142817262958,1,22,4.0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
10.308952660644293,-1.0788096613719298,11.396706205977528,1.8900953699489171,1,26,0.0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10.308952660644293,-0.9675840262617056,11.26446410567173,2.924236271848921,1,23,7.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10.308952660644293,-1.1086626245216111,11.429587333346893,2.7232671669070703,1,23,6.0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
10.308952660644293,-1.171182981502945,11.482466257485518,2.365559892155434,1,23,7.0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
